,responce,question
153695,"@159235 We're taking a look now, Kevin. We'll respond to you there in just a bit.",@AmericanAir Sent you guys a DM. Appreciate if you can get back to me. #ExecutivePlatinum
153853,@159288 You can take a look at the travel alert guidelines here: https://t.co/kNkPUilgez,"@AmericanAir 1st said no rescheduling fee for MIA passengers &amp; when I changed my plans, they asked $200 fee. Improve your Customer service."
153859,"@159290 We're happy to help, David!",#Kudos to @AmericanAir for reaching out. Very responsive. Stay tuned #CustomerService
153865,"@159293 We're sorry for the delay. If you need help getting rebooked, DM your record locator.",@AmericanAir thanks for not taking responsibility for your companys aircraft delay messing up our connecting flight and doing nothing.
153869,@159294 Sorry for the wait. We want to get you off of the airplane as soon as possible.,@AmericanAir @AmericanAir we are waiting at gate #12
153872,@159295 We're sorry things haven't gone as planned tonight. We want to get you on your way as soon as possible.,Will never fly @AmericanAir ever again! Lose my bags to Seattle and now a “faulty” plane delays for more than hour and a half. Awful Service
153876,@159290 American Airlines does not tolerate discrimination of any kind. Please DM your record locator and details so we can look into this.,Does one have to “look” a certain way to be #disabled or have a medical condition? @AmericanAir apparently your employee does #Fail
154090,@159358 If you try another browser do you get the same response?,"Trying to select my seat with @AmericanAir and all I keep getting is ""We are experiencing technical difficulties."" Grrr."
154092,"@159358 If you send us a DM with your record locator, we'll take a closer look with you.","@AmericanAir Tried the iOS app, Opera browser on PC and Chrome browser on PC. It's for flight 103 tomorrow from DFW to SJC. All the same problem."
154094,"@159358 Great news, Jeff.",@AmericanAir Fantastic! Thanks! And it looks like my seat is selected now!
154096,"@159359 We have your DMs and will answer you there, Jasmine.",Still waiting on a reply from @AmericanAir ... flight was delayed several times and all we got were $12 meal vouchers... $12 though?!
154101,@159361 We're happy to hear you love them just as much as we do!,"@AmericanAir ,  Love the new fleet's look. Both inside and out!
#aa
#flyamerican https://t.co/clF5iyDhMh"
154103,@159362 We do our best to guarantee seats and we're sorry yours were changed. Please DM your locator and we'll take a look with you.,@AmericanAir Really hard on family with young children who needed extra leg room. Reckless @AmericanAir strikes again
154105,"@159362 We received your flight details via DM. We'll respond shortly, Zach.",@AmericanAir DM sent. It's ridiculous that we were treated this way after we paid for our upgraded seats.
154108,@159363 We hope your sweet tooth is ready for all the sweet treats.,#AmericanAirlines employees are in costumes giving out candy at #DFWAirport . How cool 😎!!! @AmericanAir #Halloween2017 #HappyHalloween
154573,"@159506 We have some change options available, Mindy. Take a look here for more info: https://t.co/kNkPUilgez",@AmericanAir you are still charging $150 to cancel Pr flights? Incredible.
154575,@158683 We see you should be in the air very shortly and our team will be making up time so your delay will be minimal.,@AmericanAir TWITTER WORLD BEWARE.  Flt 696 Lax-CLT delayed an hr so flt attendant can go back to hotel to get her purse.  Boycott American!
154670,@159536 We're showing a departure time of 8:10p departing from L6.,@AmericanAir Aa2946 is the next gate to my incoming flight. Has it left yet?
154672,@159536 We've saved you a seat on AA3261 at 9:50p this evening. Our apologies for the delay.,@AmericanAir delayed flight aa2985 is giving me a connection time of 7 minutes in ord to aa2946. Can you notify crew of delayed connection?
154674,"@159537 Our apologies for the delay of your baggage.  Please DM your bag file number, and we'll check for an update.",@AmericanAir where is my luggage? I’m wearing the same clothes again today.
154676,@159538 You sound frustrated today. Please let us know how we can assist.,@AmericanAir Your service has been superb until today. Sure wish I’d at least have chosen a different hub city rather than @122128.
154678,@159538 We know delays can be frustrating. We're very sorry to keep you waiting this evening.,"@AmericanAir @AmericanAir unless you can get me to my car in Knoxville I doubt you could help. The delay isn’t much, but it’s enough to make problems."
154680,@159539 We're sorry you're unhappy with the resolution provided by our Customer Relations team. You can reply directly to their email.,@AmericanAir I am incredibly disappointed with the service I received from your customer relations department. #notgreat #ruinedvacation
154683,@159540 Now we have this song in our head! Love having you commuting with us instead of the Sam Rayburn.,@AmericanAir @151271 your rush hour commute reminds me of mine on the Sam Rayburn #tailtotailtraffic #dfwnlove4u #atleastitstollfree https://t.co/wnNJftfxi5
154685,@159541 Please take a look at your DMs for a message.,"@AmericanAir Sandy Casey, special ed teacher CA was killed &amp; her fiancé &amp; friends r trying to make arrangements to bury her #makeitright #HelpAHeroMourn"
154689,@159542 We're allowing changes to flights to and from Sonoma County. Please see details here: https://t.co/kNkPUilgez.,"@AmericanAir Flying to Sacramento this weekend, while forest fire spreads around CA. Are you allowing for flight/date changes? #AirQuality"
154693,@159544 Please DM your record locator and details. We can check on it for you.,Does anyone know the cancellation policy for @AmericanAir
154695,@159545 We appreciate you sharing your thoughts on this.,"@AmericanAir lol, srsly, point is it's not as easy, users have to log in again. Hard to believe AA can't fix this for years when every other airlines can"
154699,"@159545 It links you to our mobile website for easy booking, Chris. Thanks for your feedback on this.","@AmericanAir You need to seriously fixing your app. AA mobile app is the only one that doesn't allow booking from inside the app, SAD!"
155098,@159658 Active duty military dependents are eligible for our military fares! Please call Reservations for details at 800-433-7300.,@AmericanAir do you offer any discounts to military dependents when booking?
155101,@159659 We'd love to see you. Check out some info about our planes at: https://t.co/Cqtk8kHZip,@159660 @British_Airways @AmericanAir Sounds great! Is AA better than BA? Pls tweet a pic inside the cabin. We are thinking to go LA again.
155104,@159661 Safety will always be top priority and we're sorry for the delay. The next update will be available at 10:30a.,@AmericanAir 2278.
155106,@159661 We appreciate your feedback. Thanks for your patience.,@AmericanAir I get that. But don't rush to board your passengers not knowing the timeline.
155108,@159661 Our apologies for the late start today. Once you arrive to your destination reach back out to us here and we'll review further.,"@AmericanAir Patience = miles, voucher, anything?"
155112,@159661 We're truly sorry the delay caused the missed meeting. We're not able to offer anything further however.,@AmericanAir THXfor the refund; Evi was helpful. I would still appreciate something for missing my meeting. Could have driven to OKC if we didn't board.
155114,@159661 Sorry for your disappointment. We'd love another chance to provide you with a better experience the next time.,@AmericanAir Didn't think so. Consider changing your policy on boarding during maintenance. I will be cancelling my AA credit card today. THX again.
155117,@159661 What's your flight number? We'll check on an update.,@AmericanAir I love it when you have me board a plane knowing you are having maintenance issues. Sitting at the gate for over an hour nowTHX
155119,"@159662 We love hearing this, and love you being on board even more! Have a wonderful flight.","Greatest flight and 10 mins early. Thank you @AmericanAir and hello, Boston!"
155123,@159664 Enjoying the view?,When you take the scenic route from Tampa to Miami. @AmericanAir 😂 https://t.co/GuT0sCAjH4
155127,@159666 We have limited service at this time to STT which are full. Please check back as availability of flights can change.,@AmericanAir are you canceling all flights out of STT? Nothing is coming up on the website for next week/weekend...
155130,@159667 She sounds like a gem! We'll send this along to our leadership team. #AATeam,@AmericanAir Margo was great on AA4296 this morning! Can tell she loves her job!
155134,@159669 Our mechanics are working behind the scenes to provide our gate team an update. We'll make an announcement shortly.,"@AmericanAir hey guys, flight 2278 DFW to OKC I see is delayed. Is it weather? Think it'll be delayed any longer than 10:10 departure?"
155139,@159671 Your bag is being forwarded to Madrid now! Your patience is appreciated.,"Sadly @AmericanAir failed me. Bag didn't get past ORD. And landing in Madrid 12+hours later, they didn't proactively let me know https://t.co/2A5lu6Ne4V"
155143,"@159672 That's awesome! We love staying connected with you at 35k feet in the air. Let us know if you need any help, we'll be right here.",Great @AmericanAir flight to DFW. Halfway to #Tucson!
155145,@159673 We're here to help. Send us the record locator and details about what happened.,@AmericanAir Hi AA.  I was double charged for an MCE seat.  Can I DM?  Complicated story.
155147,@159674 Check your DMs for our response.,@AmericanAir OK shared
155149,@159674 Please share your record locator with us via DM so we may take a closer look with you.,"@AmericanAir I was flying basic economy. Rdu to Ctl no problem. At connection in Ctl, they said we couldn't fly with it anymore, charged $150."
155153,"@159675 Well then, cheers to you and cheers to us for the best ride through the skies!",@AmericanAir Why thank you! 😊
155159,"@159676 We're sorry for the delay this morning, Dustin. It looks like the aircraft had a previous maintenance delay.",@AmericanAir Glad I scheduled that 1pm meeting.... https://t.co/zklEBXueO3
155162,@159678 Thanks for sending us your flight info. We're taking a peek and will respond to you via DM soon.,@AmericanAir Not according to your website.
155164,@159678 Online check-in is working. Please DM your record locator and we'll check on your reservation.,@AmericanAir This isn’t good AA. So much for trying to check in online. :( https://t.co/M9KJRPS6K2
155166,@159679 What's going on that has you feeling this way?,@AmericanAir terrible customer service as always.
155168,"@159679 Our team looks for certain availability when using your miles. If you want a direct flight, there may be other awards open using more miles.","@AmericanAir Tons of available seats on direct flight yet can't use my airmiles, have to take some ridiculous # of connections. Waste"
155170,"@159680 It's might be a little gray outside, but on-time arrivals always brighten our morning!",@AmericanAir on time this morning. ❤️👍🎉 All is well @151271 https://t.co/VveCG0qDL0
155176,"@159683 Tracey, we sure wouldn't want you to miss such an important day for your son. Please call our Reservations team at 800-433-7300.",Reposting again since others are being deleted somehow.. are they ashamed of something? Should have used @JetBlue or @AmericanAir https://t.co/NNpPlLrSrw
155180,@159685 You've got us grinning from wing to wing! We're overjoyed by your kind words and we've passed them along for you.,"@AmericanAir Please do! Her personality, temperament and customer service is exceptional. The world needs more people like her."
155187,"@159687 You're very welcome, Caroline. Our flight crew is there to take care of you!","I guess when you shout ""WHITE WINE"" at a flight attendant @ 8:15am she can tell u don't like turbulence. Thx 4 the free drink @AmericanAir🙏🏻"
155189,@159688 It's going to be a fun ride!,Heading to see the @159689 play in the #WildCardGame in #Phoenix AZ! Tons of #Rockies fans on my @AmericanAir flight! #Rocktober! 💜⚾️
155191,@159690 *tips hat* That's just how we do.,@AmericanAir 🙌🏼🙌🏼
155194,@159691 Sure you can! Just give us a call here: https://t.co/Y3rvFiW5bQ,@AmericanAir hey guys. I live in the U.K. as a uk citizen. Can I use my transportation voucher by phoning uk number?
155196,@159692 Woohoo! *high five* We're glad everything worked out for you and your bag was along for the ride.,"Respect to @145939 and @AmericanAir. Last minute airline and flight switch, and my luggage made it with me the whole way!"
155198,@159693 We're reading it now and we'll respond there.,@AmericanAir Thanks! Just sent it.
155200,"@159693 Absolutely, we'll be standing by and waiting for you there.",@AmericanAir Hi AA! I was wondering if I could DM you about a reservation.
155202,"@159694 Thanks for your patience, Doug. We see you've pushed back from the gate and will be in the air and on your way shortly.","Hang tight Harvard, despite @AmericanAir, in doing my best to get there! https://t.co/hMVz9kvQrH"
155208,"@115892 They sound pretty tasty, Bryce. Thanks again for letting us know, we always like seeing our frequent flyers happy!","@AmericanAir Even the flight attendant admitted, ""Omg those were the best--I was so upset when we stopped offering it!"""
155210,"@115892 We have a great selection of snacks, but we're always looking for great feedback. We'll be sure to share this with the right team.","So @AmericanAir used to serve the @10856 Sweet and Spicy. It was SO good, that I bought it in bulk... Like, 12 big bags..."
160260,"@161175 That's what we're here for, Amanda! Tweet us if you need us.",@AmericanAir Thank you for your help!!
160262,@161175 We'll check what's available. Send us your record locator via DM.,It's kind of a pain when you're about to fly internationally and can't even see your seats. @AmericanAir some help please? 😒 https://t.co/GJlXVYcQmk
160264,"@161176 Thanks for joining us the morning, Jeff! Sit back, relax and enjoy the ride.","See you soon, Los Angeles. #KiaSoulRoadies 

Take me away, @AmericanAir. https://t.co/f0F7J1TZ19"
160266,@161177 We've received your DMs and responded.,"@AmericanAir American Airlines, where they want you to put your baby on the floor so they can make an extra buck."
160268,@161178 We see the DM and we'll respond there shortly.,@AmericanAir Done
160270,"@161178 We'd like the record locator, which is a six letter confirmation code via DM.",@AmericanAir Who am I DMing and what is needed?
160276,@161181 Thanks for providing  your bag file number. We'll take a peek and respond to you soon via DM.,@161182 sorry l havent received my bag yet. Feeling frustrated @AmericanAir @10226 @10857
160278,"@161183 That doesn't sound quite right, please meet us in DM and share the record locator with more details.","@AmericanAir shrunk carryon size, didnt notify when purchasing tickets. Charged $150 for rolling briefcase, even though it fits under seat! https://t.co/qJM2gOwj1T"
160280,"@161184 We always want you comfy on board, we do offer Main Cabin Extra seats which allow more legroom: https://t.co/N9kHMrvr7b",@AmericanAir Jesus your planes are tight in coach. Just rude to do this to people. BTW I didn't have a choice of airlines.
160282,"@161185 We don't want you to feel like this, Cadence. Please let our crewmember know, we can possibly move you to another seat.",#fml @AmericanAir how cheap are you? Fix your trays. Hope my tea doesn't end up in my lap.; I'm sure you'd find a way to charge ME for it https://t.co/ivRu9VyFNp
160284,"@161181 Did you file a claim with the final carrier? If it was us, please share the claim number via DM so we may take a look.","@AmericanAir feeling very frustrated...even in africa we recover bags much faster. @161186@kot
@10226 @161187"
160286,@161188 Some systems don’t show irregularities until ground power is connected or engines are started. We’re sorry for the delay.,Find it interesting that an @AmericanAir plane has mechanical issues 1st thing after sitting overnight.Think it would of been ID yesterday!
160288,@159685 Absolutely stunning! We're loving this #AAview and it's great to have you on board with us today.,"Ah, the early start was well worth it for the sunrise  - heading to #GHC17 - let’s do this @AmericanAir https://t.co/kQ0ZPY6dR1"
160290,@161189 Group 9 is for those traveling Basic Economy which does not come with overhead bin access. https://t.co/MKvFFVWJdz,@AmericanAir why do groups 1-8 get complimentary bag checks while group 9 has to pay $50 @ the gate?
160292,"@161190 We gauge overhead space to the best we can, please DM your record locator so we may share this with our team.","@AmericanAir It was necessary to check my carry on bag through because of ""no room in the overhead bins"" #AmericanAirlines #wastingmytime https://t.co/avCrCgGP6Y"
160294,@161191 Sounds like they're multi-talented! #AAwesome,The pilot on @AmericanAir flight 781 is hilarious! #thankyou 😂 #traveldiaries
160296,@161192 We care for all of our customers and we invite you to share more info along with your record locator via DM.,@AmericanAir international passengers who are visiting US first time and being so rude to them just shows that @AmericanAir doesn't care about passangers
160298,@161192 Our airport team makes the final determination when inspecting the bag if it meets the size requirement. We're not able to offer a refund.,@AmericanAir I am.not sure what you are trying to say. There was a mistake on agents part and I should be refunded the amount I was asked to pay
160300,@161192 Our apologies for any misunderstanding. We're always going for consistency including our bag dimension guidelines.,@AmericanAir It was within dimensions That's why other AA agent confirmed that it should not have been charged
160302,@161192 Your fare allows a personal item no larger than 18X14X8. Anything larger will need to be checked. https://t.co/AqqDo7qAE3,@AmericanAir and she agreed with me that I should ahve not been charged for this
160304,"@161192 Our agents watch all bags. Personal items include a purse, or small backpack. Bigger bags are considered carry-on and must be checked.",@AmericanAir Yes I did purchase basic economy but I had only one bag that could fit under seat. Still I was charged for it. @AmericanAir
160306,@161192 It sounds like you purchased a Basic Economy ticket and our gate reader makes us aware. Here's more info: https://t.co/MKvFFVWJdz,@AmericanAir wanna know why I was asked to pay while passangers in the same boarding group 9 were not asked.Was it because I dont live in US
160309,@161193 What's going on?,The way I’m about to cuss @AmericanAir when I get off this flight. 😡😡
160311,@161194 We can take a look with you via DM or you can give our Reservations team a call at 800-433-7300.,@AmericanAir just received notice of a schedule change that has my departure 2+ hours early and return 2+ hours later. What are my options?
160313,"@161194 That's wonderful news, Tim. We're glad our #AATeam was able to resolve and assist you. Have a great rest of your day!",@AmericanAir Thank you! Just spoke with a representative who was able to assist me.
160315,@161195 We understand and we appreciate this info.,"@AmericanAir Absolutely, and happy to answer them. The manner and attitude that follows is the part that is frustrating and unnecessarily"
160317,@161195 Additional questions may be asked when bringing along extra items. Our apologies for any frustration. This feedback has been sent on.,"@AmericanAir Suffice it to say that I'm constantly asked about a ""3rd bag"" (ie small cooler) &amp; get neg comments from your staff even when I say it's BM."
160326,"@161197 We'd love to share this with them, meet us in DM with your record locator and we'll pass it along.","@AmericanAir This is in DCA, gate 33 if you'd like to reward / recognize the agent (I missed his name, he was extremely courteous regarding my preboard)."
160328,@161197 Thanks for the nice applause to our #AATeam in Boston!,I applaud the @AmericanAir ticketing agent for my flight to Boston this morning for actually policing the baggage size policy for carry-ons.
160330,"@161198 Our apologies for the delays, Hank. We'll have you headed out as soon as we can.",Yesterday my flight from Austin was delayed then canceled. Now my morning flight is delayed. Not a happy @AmericanAir camper.
160332,"@161199 We'd like to look into this with you, please meet us in DM and share some additional details.",@AmericanAir Was also this way for the flight TO Japan last weekend. Super frustrating. Online AND the app fail.
160336,"@161200 If you haven't, please file a claim via: https://t.co/JsEGHYNki5 They stay in touch with you of any updates or new info available.",@AmericanAir i need a phone number for lost and found.
165799,@162589 Your #bootgame is strong! We're loving it just as much as we love being your ride through the skies. #winning,Comfy boot day on my way to #GABF ! flyin’ high with @americanair. @18052 @22091 @697 #beer #aioli? https://t.co/B5s3uO095q
165801,"@161177 We'd like to help if we can, Stephanie. DM your record locator and let us know more details.",@AmericanAir AA thinks travelers who have paid for 2 seats should put their young children on the floor so they can make more $???
165804,@162590 Going up and looking fAAbulous!,Departing MIA @AmericanAir https://t.co/SU8QmNgTrY
165806,"@162591 Your comments concern us, service animals are welcome on board if they meet requirements. Please DM some additional details.","@AmericanAir harassing me for having service dog &amp; yelling at me for only having my license, really great way to treat disabled passengers https://t.co/pCeUJy50iG"
165808,"@162592 Our teams do their best to gauge overhead space and keep you with your bag when possible, our apologies.",@AmericanAir why is there an automatic bag check at the gate when clearly there is space? Shouldn't the in-cabin staff make that call? https://t.co/XK8YO9Y6U2
165810,@162593 Have an amazing flight and time at your conference!,Looking forward to kicking off #investinwork conference later today. Wheels up 🛫 AUS with great @AmericanAir crew
165812,@162594 We're here to help get you to see your mom. Please follow and DM details about this experience this morning.,@AmericanAir and.. All of this to start the trip to see my mum who I haven't seen in 10 years. #FriendlySkiesMyAss
165814,"@162595 We want to get you reunited, had you filed a claim with our Lost and Found team? https://t.co/JsEGHYNki5 Please follow-up via DM.","@AmericanAir I left iPad on plane to #DCA, gate agent called &amp; said he found it. 1day later it's missing and lost in your processes. WTF"
165817,"@158745 Please reach out to them directly, you can see the contact info here: https://t.co/O6Fdx4Pk6T",@AmericanAir I paid for wifi for the the whole flight but since our emergency will it be credited on the now departure flight to paris
165822,@162597 We’re happy to listen here via DM if you’d like too. Please give a quick follow and DM details,@AmericanAir I will be calling today to file a complaint
165825,@162598 We're more than happy to check options for you. DM your record locator if you'd like.,"@AmericanAir We’ve flown with multiple companies over the years with zero issue, this lot have now fucked things up 2.years running. Total shambles."
165831,"@162599 We appreciate your patience and we're sorry for the wait, we'll get you going as quickly as we can.",.@AmericanAir they've been saying they are bringing a plane from the hangar for flt 2160 for an hour. DCA isn't that big...
165833,@159672 Enjoy your flight!,@AmericanAir I see you! 👍🏻👋🏻👌🏻😉
165835,@159672 Good morning! *waves intensely*,Good morning @AmericanAir &amp; FLL. See you soon DFW and TUC.
165837,@162600 We're so sorry that your flight was canceled. If you need any further help let us know.,@AmericanAir happy to take no responsibility after cancelling my flight!!!
165839,@162600 The seat charge will be refunded back to the original form of payment for you. We look forward to seeing you for your return.,@AmericanAir I'm not happy at all with way it panned out - AA owe me money for the seats I purchased but never used due to flight cancellation!
165841,"@162600 Once you've filed a report with BA, you can check online using the following link for updates: https://t.co/oyQoVPSWZW",@AmericanAir OK but where's my luggage??? - it didn't get put on my @British_Airways flight!! #disastrous
165843,@162601 Your feedback is important to us and this info has been forwarded to Flight Service.,"@AmericanAir I mean, I fly a lot. More than an average person, on @americanair &amp; this flight experience was unacceptable, rude, lazy."
165849,"@162598 Schedule changes may happen based on operational needs, we can take a look at your reservation with you via DM.","We actually have the money for a third Memphis trip in the future, but @AmericanAir can get fucked. We’ll fly with someone else."
165857,"@162602 Woohoo, way to go Tom! We're thrilled to hear how rockin' he was and we'll share this with him and our #AATeam!",@AmericanAir You have amazing customer service! Tom from your Winston Salem customer Plat Pro desk took care of me like a rock star!
165859,"@162602 It's due to a previous flight, please stay updated with the status via: https://t.co/hSJ3SkyGEd",How is a 6:30pm flight already delayed 2.5 hours the day of at 5:29am? That logically doesn't even make sense @AmericanAir flight 2375
165863,"@162603 This is due to maintenance, if you send us your record locator via DM we can check on your connection.",@AmericanAir why flight 4939 delayed out of SBY? No excuse as it is first flight of day. Thanks in advance for making me miss my connect
165865,@162604 Way to go Jodi! DM your record locator so we can pass this on to our #AATeam.,@AmericanAir awesome customer service at Dayton international with customer service rep Jodi!  Aloha🏝
165867,@162605 You get to take that beauty #HomeSweetHome. We're so happy to have you flying with us today.,Gotta agree with @144894 - the most exciting flights are the ones that take me home. Here’s the @AmericanAir @116705 773 that’ll do it! https://t.co/eHX21Ye7So
165869,"@162606 Sorry you're not comfy on board, Anthony. Please feel free to check with a crewmember about switching seats.","I'm completely miserable on @AmericanAir 1070. my neck is killing me, seat does not recline."
165871,"@162607 We've got our #WingsCrossed you make it. If you need help getting rebooked, meet us in DM with your record locator.",When your flight is delayed because you don’t have a gate assignment. Hope we make our connector @AmericanAir...#stresscity
165873,@162608 We'd like to pass this info on to review internally. Meet us in DM with your record locator.,"Hey @AmericanAir don't lie to me and say my bag is oversized when you force me to check my bag. I fly all the time, you guys are pathetic."
168999,@163601 Please give our baggage team a call at 800-535-5225 so we can get started on tracking it for you.,@AmericanAir It's a bit late for that. I've already dealt with an hour delay at origin which caused me to miss connection. Don't have time to wait.
169001,"@163601 We know having your bag is important, please make sure you file a claim with our team before you leave the airport.",2+ hours between planes and somehow @AmericanAir can't get my bag from Dallas to Austin on my flight. Have another flight Saturday...
169003,"@163602 There's no place like home! We hope our team makes you feel like family on board, Dale. Have a fantastic evening.",BUR-&gt;PHX @AmericanAir Too little time in Pasadena. Home for a day or so.
169005,@163603 Awesome. We'll take a peek at your fabulous shout out for the #AATeam!,@AmericanAir see DM about awesome svc from S Kirk and S Shelton DFW term c svc. They are why #favoriteairline
169007,@163603 You bet we'll pass it right along to the hard working ladies.,"@AmericanAir Please make sure they get kudos, it was an angry mob when I walked away. They were handling like champions! #greatsvc"
169011,@163604 We took a look and a refund was sent on July 27th for $200.90 to Visa ending in 4022. Did you not get the refund?,@AmericanAir Any update? It's been over a week and still haven't heard anything... Now going on 3 months that I've been dealing with this!
169014,"@163604 We know you're ready to hear back. We sent it over to Refunds yesterday, and it can take a few days to get processed.",@AmericanAir ...and still have yet to hear back from anyone at @AmericanAir
169019,"@163605 We always want you to enjoy your flights with us, James. We hope you'll remain loyal as we continue updating our fleet.","@AmericanAir flights from Term 1@SFO ALWAYS a crap plane, leaving from crap terminal. Apparently have to start flying @VirginAmerica"
169021,"@163605 We appreciate your feedback, and assure you we're continuing to update our fleet as quickly as we can.",@AmericanAir And WTF up with putting only 4 Woodfords in 1st class? Me and 2 other salesmen knock that out b4 food is served.
169024,"@163606 We want our customers to be aware of the great deals offered with the cards, Steve. Thanks for your understanding.",@AmericanAir pls stop peddling credit cards onboard flights. pitching cards over the intercom EVERY flight just a joke. #useyourwebsite
169036,"@163610 The vouchers can also be brought in to a ticketing location to be turned in. As soon as we get them, we can issue the tickets.","@AmericanAir - in this day of environment responsibility, why do you insist on having to physically mail in travel vouchers? #poorCSR"
169038,"@163610 Our apologies for any issues, Michael. In cases of paper vouchers you do either have to mail the voucher, or bring it to the airport.","@AmericanAir Either way mailing or driving to airport is environmentally unfriendly, unnecessary in this day/age when things can be done electronically"
169040,@163610 Thanks for providing feedback on this. We're always working towards improved experiences for our customers.,"@AmericanAir Exactly my point. In this day and age of environment focus and climate change, this is unnecessary and irresponsible of AA"
169120,@163636 Our airport folks will see if anything closer together is available so please check at the gate.,"@AmericanAir We checked in 24 hrs in advance for tmrw, printed boarding passes and our assigned seats are 8 rows apart."
169123,@163636 Our team does their best to get you seated together. Maybe someone on board will be willing to move so you can.,@AmericanAir Nope. Your airline failed us and this flight's not even full. $64 per ticket to sit together at check-in. Ridiculous.
169125,@163636 Purchasing Main Cabin Extra or Preferred seats is an option offered in advance. Seats will be assigned once you arrive to the airport!,@AmericanAir paid $500 for 2 tix and you can't even give us seats together unless we pay $50+ each? Ridiculous. Never flying w you again.
169127,"@163637 We're ready to go, Bill! We'll have you in the air and soaring the skies soon.",Prepping for @AmericanAir DFW / LHR. #UK #travel https://t.co/OEuhD2pgQx
169129,@131500 We've double checked and you have seat 1A at this time.,@AmericanAir So that means there was a seat swap?
169131,"@131500 Our sincere apologies for the seat swap, Michael. We always try to keep you in the same seat whenever possible.","@AmericanAir Not true- checked in AC in TPA and shows i was in 3A. https://t.co/8nrDIUDCRM strikes again, i'll have to do screen shots/print bp"
169133,"@131500 We're not showing you were reserved for seat 3A, only seat 1A since the upgrade cleared.","Hey @AmericanAir - easy one today, AA470 CLT-SAN, was in 3A, now 1A. What happened?"
169135,@163638 We want all your travels with us to be fabulous. Please DM your record locator and share what's going on.,@AmericanAir thank you for the worst flying experience ever.
169147,@162602 We'd love to share your kudos! Please DM the locator Pamela assisted you with.,@AmericanAir I needed another help today and Pamela out of the Dallas center was amazing!
169149,"@163644 We'd be happy to help with available options. Please DM your record locator, if we can help.",@AmericanAir Thanks for moving my return trip by 5 hours and not confirming it with me at all. Not my idea of good customer service. 😡
169151,"@163644 We're always happy to help when we can, Brian!",@AmericanAir Thank you for the help. Nice save!
169153,"@163645 You sound disappointed, Andrew. Please DM what happened so we can take a look.",@AmericanAir is so bad it almost makes me miss @116450. PHL needs more carriers. #biztravel sad how Bad domestic carriers are these days.
169155,"@163646 We're definitely here to help and if we can have a little fun at the same time, why not! This honestly made our day, Gary.",Getting the Best Customer Service From Airlines &amp; Saying Thanks When You Do https://t.co/pEI4lhUdyk Shout out to @AmericanAir twitter team!!
169158,@163604 We haven't forgotten about you and still see that our team may still be investigating this. We'll ensure to follow up with them.,"@AmericanAir LOL at the fact that @AmericanAir version of ""we'll look into this"" is just not giving me any info and hoping I'll forget #NotGonnaHappen"
169161,@163604 Our sincere apologies for the wait. We're going to directly speak with our Refunds team for an update.,@AmericanAir This is hands down the WORST customer service experience I've ever had! 3 MONTHS of being ignored for a refund I was told I would get!
169164,@163604 We haven't received an update. We'll reach out to them directly and will DM you with a follow up. We appreciate your patience.,@AmericanAir Any news from your refunds team?
169165,@163647 Please try changing your font and text size back to the default settings. We're working on a fix for this.,@AmericanAir why won't the calendar populate when I try to book a flight using your app? https://t.co/QMsvPxCaqx
169167,@163648 We understand and we're very sorry if we aren't able to get you to your plans on time today.,@AmericanAir But MY plans are ruined even though you might have later flights.
169169,@163648 Your safety is always top priority and your connection is looking pretty good at about an hour right now. We have later flights if needed.,@AmericanAir Guess it wouldn’t matter to you if you miss our connection!  I book my flights so that I give myself adequate time though CLT - you ruin it
169171,@163648 We feel your frustration and we're sorry we've upset you. We'll get everyone on and wheels up as quickly as we can.,Thanks a lot to Doug Parker and the horrible USAir team for making @AmericanAir an apathetic mass of uselessness
169173,@163649 There are some really great goodies in there to snack on! Enjoy,"@AmericanAir Great options in the First Class basket, though 👌🏻"
169178,"@163650 We would if we could, Luis.","@AmericanAir Oh yeah? How about you let me use any of my 34 500-mile upgrades? Just kidding, rules are rules..."
169181,"@163650 Well then, let's make it happen!","@AmericanAir We've done together plenty of times, but not for business, together or separately @AmericanAir @82305 @30222 @82306"
169183,@163650 We'd love to have you both with us together soon!,"On this day, both my daughter @30222 and I are on @AmericanAir, just going in different directions. Must be getting old..."
169185,@163651 Carry-on bags can be brought on as long as they're small enough to fit!,@AmericanAir should give out a free travel voucher to one random passenger who actually checks their bags at checkin. #traveltips #CarryOn
169187,"@159672 You betcha, Toby. We live for these AAdventures with you!",Thanks again @AmericanAir for the smooth flight from Dallas to #Tucson. Can't wait for #TRULYCarShow this weekend! https://t.co/lio53cV5Kv
169189,@163652 We'll be happy to check for another MCE or send a refund on!,When there’s an equipment change and @AmericanAir bumps you from your MCE seat into a normal cramped thing.
169191,@163653 What happened during your flight? Please DM details so we can forward it on to Flight Service.,.@AmericanAir really really nasty first class flight attendant today on aa1685. Can't imagine how she got the job.
169228,"@162012 We're sorry your experience hasn't been all we want it to be, please let us know if there's anything we can help with via DM.","@British_Airways Sure, @AmericanAir cant fix your SEA lounge, but i’m confident they’ll let their Station Mgr know about my experience... (11/X)"
169267,"@163669 An on-time departure is always the goal and we're sorry for the wait, we'll have you on your way as quickly as we can.",@AmericanAir Flight 3513. Still waiting. No updates from a 12:45 departure. Which was 11 minutes ago. Get it together.
169269,@163669 We're expecting an update at 12:30p. Our apologies for the wait.,@AmericanAir Nonsense
